instance,label,mean_lbd,variance_lbd,lbd_trend,fraction_lbd2,mean_clause_len,mean_dec_level,mean_props_per_conflict,conflict_rate,progress_at_k,learnts_per_conflict
Kakuro-easy-104-ext.xml.hg_6.cnf,AGG,7.5425,46.1042,0.837,0.158,13.4845,112.401,1572.34,113.902,0.00327927,0.9925
Kakuro-easy-112-ext.xml.hg_7.cnf,CONS,5.993,22.701,1.178,0.166,11.3565,170.276,2032.86,84.5702,0.00181006,0.9925
Kakuro-easy-115-ext.xml.hg_5.cnf,AGG,6.5615,24.6632,0.221,0.1615,13.402,102.223,1379.68,75.3608,0.0021609,0.9945
Kakuro-easy-150-ext.xml.hg_9.cnf,CONS,5.9805,24.5631,0.725,0.1915,11.148,125.681,2050.17,83.661,0.00164891,0.994
Kakuro-easy-156-ext.xml.hg_7.cnf,CONS,6.3935,23.0437,-0.863,0.126,12.063,236.258,2135.79,90.1632,0.00347306,0.99
ktf_TF-4.tf_2_0.02_18.cnf,AGG,18.3935,173.572,6.491,0.0405,34.9035,57.064,3314.41,724.9,0.0208147,0.9975
LABS_n089_goal008.cnf,CONS,29.1085,440.326,7.185,0.025,57.068,75.069,19010.3,113.302,0.0565613,0.9995
maximum_constrained_partition_14_bits_n200.cnf,CONS,6.7135,205.329,-5.617,0.4415,22.484,229.603,449.508,2886,0.00228085,0.989
mp1-bsat201-707.cnf,CONS,10.4765,21.8584,0.183,0.0235,16.286,18.705,39.477,30303,2.48756e-05,0.1935
mp1-klieber2017s-0490-024-t12.cnf,CONS,12.628,32.7026,0.586,0.0705,29.7955,21.075,5361.1,505.689,0.00121364,1
mp1-Nb6T06.cnf,AGG,11.929,51.163,4.104,0.0365,22.5335,53.3755,232.968,9259.26,7.29868e-08,1
mp1-tri_ali_s11_c35_abix_UNS.cnf,CONS,12.074,34.3565,2.082,0.047,19.566,19.632,153.331,9216.59,2.76497e-05,0.5975
mp1-tri_ali_s11_c35_bail_UNS.cnf,CONS,8.973,20.3533,0.488,0.0635,12.9815,15.7275,74.991,22727.3,3.12657e-05,0.335
Mycielski-10-hints-10.cnf,CONS,14.0905,119.01,2.817,0.008,20.876,44.6425,266.87,1996.01,2.09888e-08,1
p01_lb_05.cnf,AGG,19.763,200.227,4.93,0.0045,61.8855,150.258,535.424,3154.57,0.329786,1
pb_300_05_lb_17.cnf,AGG,21.609,1668.64,10.904,0.0235,124.263,363.168,2928.64,653.595,0.201218,1
pb_300_10_lb_06.cnf,CONS,16.076,537.149,7.384,0.0645,58.9535,308.433,2790.05,726.744,0.201832,1
prime_a20_b20.cnf,CONS,16.0165,241.413,-1.733,0.1565,101.737,161.397,411.032,3120.12,0.268711,0.976
prime_a22_b22.cnf,AGG,17.3405,272.563,-1.835,0.137,107.566,219.059,533.363,2544.53,0.275671,0.9245
puzzle35_sat.cnf,CONS,5.685,21.8288,1.734,0.2575,12.713,86.89,1107.27,2127.66,0.00592775,0.9995
quad_res_r21_m22.cnf,CONS,13.4475,110.722,-1.201,0.1125,50.1785,34.359,298.281,4415.01,0.128336,0.999
randomG-B-Mix-n15-d05.cnf,AGG,29.8615,146.83,0.497,0.0025,37.8915,40.236,41.236,20202,8.57471e-06,0.1455
satch2ways12u.cnf,CONS,34.617,677.673,-4.44,0.0015,60.011,454.505,920.943,2994.01,6.76791e-09,1
satch2ways12wu.cnf,CONS,34.617,677.673,-4.44,0.0015,60.011,454.505,920.943,3120.12,6.76791e-09,1
SC21_Timetable_C_527_E_71_Cl_35_S_35.cnf,CONS,13.273,592.943,-3.354,0.383,20.355,17836,13691.5,142.298,0.00950267,0.974
snw_13_9_pre.cnf,CONS,9.5005,72.41,2.071,0.087,15.1605,71.9125,1027.74,1001,4.15933e-08,1
sp4-33-bin-stri-flat-noid.cnf,CONS,45.187,958.573,4.676,0.0065,78.384,86.82,90.453,6968.64,0.119594,1
sp4-33-one-nons-flat-noid.cnf,AGG,55.623,2318.07,54.334,0.0065,90.8565,113.251,114.71,5524.86,0.11972,1
sp4-33-one-stri-tree-noid.cnf,CONS,40.6905,723.428,13.811,0.0015,70.388,77.53,304.887,4950.5,0.117934,1
sp4-33-una-stri-flat-noid.cnf,CONS,55.722,1493.73,-5.786,0.001,85.663,104.291,115.596,5813.95,0.11966,1
sp5-21-15-bin-stri-flat-noid.cnf,AGG,24.1195,913.102,14.557,0.123,117.564,143.764,762.288,2621.23,0.212509,1
sp5-21-15-bin-stri-tree-noid.cnf,CONS,30.416,2835.24,-6.434,0.093,144.398,258.493,991.785,2072.54,0.236805,1
sp5-21-15-una-stri-flat-noid.cnf,CONS,39.053,3162.18,25.738,0.0635,148.017,192.316,764.591,2347.42,0.212621,1
spg_200_300.cnf,CONS,4.2965,20.0196,-1.315,0.4965,16.0865,932.297,1206.94,585.309,1.31081e-11,1
sted2_0x1e3-216.cnf,AGG,3.093,3.46135,-0.116,0.408,4.7095,84.5525,61.6025,7633.59,0.493839,0.9945
toughsat_factoring_426s.cnf,CONS,8.6545,42.2031,0.469,0.1345,32.27,29.7385,220.008,6153.85,0.0353415,0.998
vlsat2_111_1186.cnf,AGG,43.585,2870.91,-22.688,0,198.312,1256.34,511.11,1510.57,0.000988328,1
vmpc_26.cnf,AGG,12.3375,76.8556,-1.751,0.0925,23.1765,36.338,122.12,3610.11,1.53339e-05,1
WS_300_24_90_10.apx_0.cnf,CONS,24.4635,201.306,-0.259,0.002,44.2375,57.645,144.773,7462.69,0.0866679,1
170059081.cnf,AGG,16.401,72.1872,-0.064,0.0045,23.431,32.1195,54.0615,18867.9,9.79624e-06,0.2635
4g_5color_170_050_05.cnf,AGG,22.4755,674.164,-4.515,0,93.8485,179.998,1436.42,710.227,1.35169e-09,1
6g_5color_166_100_01.cnf,CONS,25.178,1009.56,-1.986,0.0005,118.475,363.483,8998.81,21.4987,1.48872e-11,1
abw-V-nos6.mtx-w220.cnf,CONS,54.03,7453.4,3.696,0.0525,155.056,16100.9,14147.7,88.1679,0.303147,1
atco_enc2_opt2_05_9-sc2014.cnf,AGG,10.6975,69.306,2.141,0.1625,23.875,86.407,441.459,2000,0.0319206,0.999
course0.2_2018_3_5.cnf,CONS,3.2865,49.0294,-0.693,0.6595,8.4635,82.402,6319.83,312.647,0.124397,0.7515
dislog_a11_x11_n21.cnf,CONS,6.696,10.5766,0.044,0.0855,12.8555,14.445,238.881,4866.18,0.178188,0.9935
DLTM_twitter845_79_19.cnf,CONS,14.8375,117.011,-1.031,0.0695,33.589,47.366,2783.46,934.579,0.000810435,1
f6bidw.cnf,AGG,5.3455,21.0801,1.165,0.319,12.7445,163.81,4284.09,511.117,0.00633696,0.996
fermat-33106286870663.cnf,AGG,8.2865,124.253,-1.591,0.3145,41.619,46.0555,340.474,4514.67,0.189574,0.9625
Kakuro-easy-052-ext.xml.hg_4.cnf,CONS,5.7865,16.3089,0.367,0.1695,10.491,78.6375,784.8,329.87,0.00493721,0.995
Kakuro-easy-126-ext.xml.hg_7.cnf,CONS,6.513,29.3818,0.872,0.163,12.2165,105.172,1827.83,80.4667,0.00169065,0.9955
mp1-9_49.cnf,AGG,12.658,95.647,2.438,0.0395,31.178,47.965,76.673,6250,0.557622,0.9975
mrpp_8x8#16_12.cnf,CONS,2.457,1.96015,-0.238,0.5125,3.9475,731.365,353.413,4056.8,0.0659871,0.979
newpol4-6.cnf,CONS,10.622,54.4921,-0.434,0.0935,22.991,71.118,646.071,3642.99,0.0024835,1
preimage_80r_495m_160h_seed_379.cnf,CONS,10.9365,43.3815,-0.893,0.196,18.47,60.126,28412.6,58.3839,0.114761,0.991
prime2209-84.cnf,CONS,3.8705,8.27173,0.449,0.3915,15.1545,16.9395,368.568,2453.99,0.0659242,0.825
ps_200_300_70.cnf,CONS,4.5975,14.9245,0.213,0.351,15.7135,936.038,603.105,903.751,3.06413e-11,1
Steiner-45-16-bce.cnf,CONS,10.599,21.8982,-0.61,0.0355,14.3835,20.05,97.4585,16393.4,0.0114701,0.326
sv-comp19_prop-reachsafety.queue_longer_false-unreach-call.i-witness.cnf,CONS,6.317,36.1015,0.702,0.252,20.8845,180.15,721.107,43.592,0.000301354,0.9995
Timetable_C_392_E_62_Cl_26_S_28.cnf,CONS,16.2185,677.975,7.247,0.308,27.1045,10284.6,7807.35,27.4409,0.0105477,0.9915
traffic_kkb_unknown.cnf,CONS,8.3195,7.25642,2.149,0.016,14.0815,13.8795,254.414,1048.77,2.9025e-05,0.9995
